,name,Action,Adventure,Casual,Horror,Multiplayer,Racing,RPG,Simulation,Sport,Strategy,firstReleaseDate,earlyAccess,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamUrl
2227,Captain Stu,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-22,True,15,6.99,94.0,0.0,0,Hobbyist,Gold Musket Games,"Gold Musket Games,James Scott",https://store.steampowered.com/app/2472510
2228,Captain Velvet Meteor: The Jump+ Dimensions,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-02-29,False,56,24.99,827.0,3.3837862233196185,100,Indie,SHUEISHA GAMES,Momo-pi,https://store.steampowered.com/app/2222950
2229,Captain of the Guard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-10-17,False,30,4.99,242.0,4.927397989345941,100,Hobbyist,Summoner Studios LLC,Summoner Studios LLC,https://store.steampowered.com/app/3076750
2230,Captain's Call,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2024-09-27,True,30,5.89,159.0,2.2878589655576542,100,Hobbyist,LiaMavis,LiaMavis,https://store.steampowered.com/app/3205390
2231,Captive: You Are My Idol,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2024-09-10,False,1,4.99,4.0,0.0,0,Hobbyist,Nightmare Pug,TheOdie,https://store.steampowered.com/app/2953160
2232,Capuchin,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2024-12-16,False,1677,0.0,0.0,3.169298621559477,89,Hobbyist,"Banana Analytics, LLC","Banana Analytics, LLC",https://store.steampowered.com/app/2767950
2233,Capybara,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-08-30,False,2180,0.0,0.0,45.034938133027886,72,Hobbyist,Ventura,Ventura,https://store.steampowered.com/app/3118290
2234,Capybara: The story of Sisyphus,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-14,False,12703,0.0,71.0,4.874625011997768,77,Hobbyist,Underdogs,Underdogs,https://store.steampowered.com/app/2732980
2235,Capybarabara,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-15,False,1,5.99,5.0,0.0,0,Hobbyist,Studio LEF,Studio LEF,https://store.steampowered.com/app/3112380
2236,Car Clicker,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-07-17,False,2783,0.0,0.0,7.1769186625919765,33,Hobbyist,online99,"cem99,slh99",https://store.steampowered.com/app/3059840
2237,Car Detailing Simulator VR,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2024-09-26,False,191,6.99,1146.0,0.982080728116146,75,Indie,"Games Incubator,PlayWay S.A.","GameFormatic S.A.,PlayWay S.A.",https://store.steampowered.com/app/2527890
2238,Car Manufacture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2024-08-01,True,56715,19.99,922231.0,12.519685219594088,77,AA,PlayWay S.A.,STEREO GAMES S.A.,https://store.steampowered.com/app/983380
2239,Car Tycoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2024-10-23,False,338,6.99,1840.0,4.042936081959308,100,Hobbyist,TOKI Games,TOKI Games,https://store.steampowered.com/app/3042340
2240,Car Wash Game for Kids and Toddlers,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2024-04-17,False,1,8.99,8.0,0.0,0,Hobbyist,McPeppergames,McPeppergames,https://store.steampowered.com/app/2909980
2241,CarGo!,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2024-11-07,False,134,9.99,1111.0,1.4766980523834206,100,Hobbyist,Cleversan Games,Memory Leak Games,https://store.steampowered.com/app/1272780
2242,CarX Street,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2024-08-29,False,248668,19.99,4268351.0,20.21680112329462,71,Indie,"CarX Technologies, LLC",Emberstorm Entertainment,https://store.steampowered.com/app/1114150
2243,Caramel Performance,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-07-24,False,8,5.5,33.0,2.5626554558127195,100,Hobbyist,Keyeee,Keyeee,https://store.steampowered.com/app/3084090
2244,Caravan SandWitch,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-12,False,30978,24.99,621139.0,0.0,92,Indie,Dear Villagers,Studio Plane Toast,https://store.steampowered.com/app/1582650
